# AdultPrime Network Sites Configuration 共计105个站点（104个系列站点 + 1个网络主站）
# Format: site_name,domain,code,network,enabled,priority
# Source: AdultPrimeNetwork.cs from AdultScraper

site_name,domain,code,network,enabled,priority

# AdultPrime Network (104 sites + 1 main site)
AdultPrime,adultprime.com,,AdultPrime,true,100
AdultPrime Originals,adultprime.com,,AdultPrime,true,90
4K CFNM,4kcfnm.com,,AdultPrime,true,80
Arousins,arousins.com,,AdultPrime,true,75
BBVideo,bbvideo.com,,AdultPrime,true,75
Beauty and the Senior,beautyandthesenior.com,,AdultPrime,true,80
Bi Fuck,bifuck.com,,AdultPrime,true,75
Bionixxx,bionixxx.com,,AdultPrime,true,70
Bondagettes,bondagettes.com,,AdultPrime,true,75
Bound Men Wanked,boundmenwanked.com,,AdultPrime,true,70
Brasil Bimbos,brasilbimbos.com,,AdultPrime,true,75
Breed Bus,breedbus.com,,AdultPrime,true,75
Club Bang Boys,clubbangboys.com,,AdultPrime,true,75
Club Castings,clubcastings.com,,AdultPrime,true,80
Club SweetHearts,clubsweethearts.com,,AdultPrime,true,85
Cockin,cockin.com,,AdultPrime,true,70
Color Climax,colorclimax.com,,AdultPrime,true,75
CuckOldest,cuckoldest.com,,AdultPrime,true,75
DaringSex HD,daringsex.com,,AdultPrime,true,80
Desi Bang,desibang.com,,AdultPrime,true,75
Digital Desire,digitaldesire.com,,AdultPrime,true,80
Dirty Gunther,dirtygunther.com,,AdultPrime,true,75
Dirty Hospital,dirtyhospital.com,,AdultPrime,true,75
Distorded,distorded.com,,AdultPrime,true,70
Elegant Raw,elegantraw.com,,AdultPrime,true,80
Evil Playgrounds,evilplaygrounds.com,,AdultPrime,true,75
Family Screw,familyscrew.com,,AdultPrime,true,80
Fan Fuckers,fanfuckers.com,,AdultPrime,true,75
Fetish Prime,fetishprime.com,,AdultPrime,true,75
Fixxxion,fixxxion.com,,AdultPrime,true,70
Fresh POV,freshpov.com,,AdultPrime,true,80
Fucking Skinny,fuckingskinny.com,,AdultPrime,true,75
Gender Flux,genderflux.com,,AdultPrime,true,70
Gonzo 2000,gonzo2000.com,,AdultPrime,true,75
Granddadz,granddadz.com,,AdultPrime,true,75
Grandmams,grandmams.com,,AdultPrime,true,75
GrandParentsX,grandparentsx.com,,AdultPrime,true,75
Group Banged,groupbanged.com,,AdultPrime,true,75
Group Mams,groupmams.com,,AdultPrime,true,75
Group Sex Games,groupsexgames.com,,AdultPrime,true,75
Hardcore Holiday,hardcoreholiday.com,,AdultPrime,true,75
Hollandsche Passie,hollandschepassie.com,,AdultPrime,true,75
Hot Ts,hotts.com,,AdultPrime,true,75
Industry Invaders,industryinvaders.com,,AdultPrime,true,75
Interraced,interraced.com,,AdultPrime,true,75
