# Gamma Entertainment Network Sites Configuration
# All sites using Algolia API for search and content retrieval
# Format: site_name,domain,code,network,enabled,priority
# Networks: GammaEntertainment(14+1), Girlsway(15+1), EvilAngel(20+1), 21Naturals(3+1), DevilsFilm(3+1), RoccoSiffredi(2+1), 21Sextreme(5+1), FantasyMassage(6+1), XEmpire(5+1), BlowPass(5+1), 21Sextury(20+1), DogfartNetwork(23+1), MommysBoy(1+1), WhiteGhetto(3+1), ZeroToleranceFilms(2+1), TukTukPatrol(1+1)

site_name,domain,code,network,enabled,priority

# GammaEntertainment Network (14 sites + 1 main site)
GammaEntertainment,www.adulttime.com,,GammaEntertainment,true,100
Oopsie,Oopsie.com,,GammaEntertainment,true,85
Transfixed,Transfixed.com,,GammaEntertainment,true,85
Wicked,Wicked.com,,GammaEntertainment,true,85
Girlfriends Films,GirlfriendsFilms.com,,GammaEntertainment,true,85
Pure Taboo,PureTaboo.com,,GammaEntertainment,true,90
Under The Bed,UnderTheBed.com,,GammaEntertainment,true,80
Burning Angel,BurningAngel.com,,GammaEntertainment,true,85
GenderX Films,GenderXFilms.com,,GammaEntertainment,true,80
Filthy Kings,FilthyKings.com,,GammaEntertainment,true,75
My Pervy Family,MyPervyFamily.com,,GammaEntertainment,true,80
Modern Day Sins,ModernDaySins.com,,GammaEntertainment,true,80
Joymii,Joymii.com,,GammaEntertainment,true,85
Diabolic,Diabolic.com,,GammaEntertainment,true,80
Gangbang Creampie,GangbangCreampie.com,,GammaEntertainment,true,80

# Girlsway Network (15 sites + 1 main site)
Girlsway,www.girlsway.com,,Girlsway,true,100
Lesbian Factor,LesbianFactor.com,,Girlsway,true,80
All Girl Massage,AllGirlMassage.com,,Girlsway,true,85
Web Young,WebYoung.com,,Girlsway,true,85
Sex Tape Lesbians,SexTapeLesbians.com,,Girlsway,true,75
Mommys Girl,MommysGirl.com,,Girlsway,true,80
Girls Try Anal,GirlsTryAnal.com,,Girlsway,true,80
LezCuties,LezCuties.com,,Girlsway,true,75
Squirting Lesbian,SquirtingLesbian.com,,Girlsway,true,75
Old Young Lesbian Love,OldYoungLesbianLove.com,,Girlsway,true,75
Girlcore,Girlcore.com,,Girlsway,true,80
We Like Girls,WeLikeGirls.com,,Girlsway,true,80
Lesbian Revenge,LesbianRevenge.com,,Girlsway,true,75
Moms On Moms,MomsOnMoms.com,,Girlsway,true,75
Where The Boys Arent,WhereTheBoysArent.com,,Girlsway,true,75
Girlsway Originals,GirlswayOriginals.com,,Girlsway,true,80

# Evil Angel Network (20 sites + 1 main site)
EvilAngel,www.evilangel.com,,EvilAngel,true,100
Mike Adriano,MikeAdriano.com,,EvilAngel,true,85
Transsexual Angel,TranssexualAngel.com,,EvilAngel,true,80
TS Playground,TSPlayground.com,,EvilAngel,true,80
Joey Silvera,JoeySilvera.com,,EvilAngel,true,80
