# MindGeek Network Sites Configuration 共计227个站点（214个系列站点 + 13个网络主站）
# Format: site_name,domain,code,network,enabled,priority
# Networks: Brazzers(31+1), RealityKings(44+1), BangBros(53+1), DigitalPlayground(3+1), Mofos(13+1), Twistys(10+1), SexyHub(6+1), FakeHub(11+1), MileHigh(5+1), Babes(5+1), TransAngels(1+1), LetsDoeIt(18+1), Independent(15+1)

site_name,domain,code,network,enabled,priority

# Brazzers Network (31 sites + 1 main site)
Brazzers,www.brazzers.com,,Brazzers,true,100
Moms in Control,MomsInControl.com,mic,Brazzers,true,90
Pornstars Like It Big,PornstarsLikeItBig.com,plib,Brazzers,true,90
Big Tits at Work,BigTitsAtWork.com,btaw,Brazzers,true,85
Big Tits at School,BigTitsAtSchool.com,btas,Brazzers,true,85
Baby Got Boobs,BabyGotBoobs.com,bgb,Brazzers,true,85
Real Wife Stories,RealWifeStories.com,rws,Brazzers,true,85
Teens Like It Big,TeensLikeItBig.com,tlib,Brazzers,true,85
ZZ Series,ZZSeries.com,zzs,Brazzers,true,90
Mommy Got Boobs,MommyGotBoobs.com,mgb,Brazzers,true,80
Milfs Like It Big,MilfsLikeItBig.com,mlib,Brazzers,true,85
Big Tits in Uniform,BigTitsInUniform.com,btiu,Brazzers,true,80
Doctor Adventures,DoctorAdventures.com,da,Brazzers,true,85
Brazzers Exxtra,BrazzersExxtra.com,bex,Brazzers,true,90
Big Tits in Sports,BigTitsInSports.com,btis,Brazzers,true,80
Big Butts Like It Big,BigButtsLikeItBig.com,bblib,Brazzers,true,85
Big Wet Butts,BigWetButts.com,bwb,Brazzers,true,85
Dirty Masseur,DirtyMasseur.com,dm,Brazzers,true,80
Hot and Mean,HotAndMean.com,ham,Brazzers,true,85
CFNM,CFNM.com,cfnm,Brazzers,true,75
Racks and Blacks,RacksAndBlacks.com,,Brazzers,true,70
Butts and Blacks,ButtsAndBlacks.com,,Brazzers,true,70
Day With A Porn Star,DayWithAPornStar.com,dwp,Brazzers,true,80
Shes Gonna Squirt,ShesGonnaSquirt.com,,Brazzers,true,75
Asses In Public,AssesInPublic.com,,Brazzers,true,70
Busty Z,BustyZ.com,,Brazzers,true,70
Busty and Real,BustyAndReal.com,,Brazzers,true,70
Hot Chicks Big Asses,HotChicksBigAsses.com,,Brazzers,true,70
Teens Like It Black,TeensLikeItBlack.com,,Brazzers,true,75
Brazzers Vault,BrazzersVault.com,,Brazzers,true,60
Sex Pro Adventures,SexProAdventures.com,,Brazzers,true,70
Jug Fuckers,JugFuckers.com,,Brazzers,true,60

# RealityKings Network (44 sites + 1 main site)
RealityKings,www.realitykings.com,,RealityKings,true,100
RK Prime,RKPrime.com,,RealityKings,true,90
Mikes Apartment,MikesApartment.com,map,RealityKings,true,85
Look At Her Now,LookAtHerNow.com,,RealityKings,true,85
40 Inch Plus,40InchPlus.com,,RealityKings,true,75
8th Street Latinas,8thStreetLatinas.com,,RealityKings,true,80
Bad Tow Truck,BadTowTruck.com,,RealityKings,true,70
Big Naturals,BigNaturals.com,,RealityKings,true,85
Big Tits Boss,BigTitsBoss.com,,RealityKings,true,80
Captain Stabbin,CaptainStabbin.com,,RealityKings,true,80
CFNM Secret,CFNMSecret.com,,RealityKings,true,75
Cum Fiesta,CumFiesta.com,,RealityKings,true,85
Euro Sex Parties,EuroSexParties.com,,RealityKings,true,80
Extreme Asses,ExtremeAsses.com,,RealityKings,true,75
Extreme Naturals,ExtremeNaturals.com,,RealityKings,true,75
First Time Auditions,FirstTimeAuditions.com,,RealityKings,true,85
Girls of Naked,GirlsOfNaked.com,,RealityKings,true,70
Happy Tugs,HappyTugs.com,,RealityKings,true,80
HD Love,HDLove.com,,RealityKings,true,75
Hot Bush,HotBush.com,,RealityKings,true,75
In the VIP,InTheVIP.com,,RealityKings,true,85
Mike in Brazil,MikeInBrazil.com,,RealityKings,true,80
Milf Hunter,MilfHunter.com,,RealityKings,true,85
Milf Next Door,MilfNextDoor.com,,RealityKings,true,80
Moms Bang Teens,MomsBangTeens.com,,RealityKings,true,85
Moms Lick Teens,MomsLickTeens.com,,RealityKings,true,85
Money Talks,MoneyTalks.com,,RealityKings,true,85
Monster Curves,MonsterCurves.com,,RealityKings,true,85
No Faces,NoFaces.com,,RealityKings,true,70
Pure 18,Pure18.com,,RealityKings,true,85
Round and Brown,RoundAndBrown.com,,RealityKings,true,80
Sneaky Sex,SneakySex.com,,RealityKings,true,85
Street BlowJobs,StreetBlowJobs.com,,RealityKings,true,80
